"","employees","salaries_2017","salary_adjustments","adjusted_salaries_2018","salary_raised"
"76","Employee  76",49682.8586305492,-1724.27462064661,47958.5840099026,FALSE
"77","Employee  77",48913.0414137617,3079.37079574913,51992.4122095108,TRUE
"78","Employee  78",41776.3122706674,3476.61430132575,45252.9265719932,TRUE
"79","Employee  79",46870.510193985,-2425.05677393638,44445.4534200486,FALSE
"80","Employee  80",46390.5846397392,8048.6998881679,54439.2845279071,TRUE
"81","Employee  81",49201.7500312068,-4893.7685135752,44307.9815176316,FALSE
"82","Employee  82",46932.8187778592,7038.26254350133,53971.0813213605,TRUE
"83","Employee  83",40921.4479546063,3725.12946021743,44646.5774148237,TRUE
"84","Employee  84",43020.2963831834,167.092927731574,43187.389310915,TRUE
"85","Employee  85",47165.1670150459,-1788.00470312126,45377.1623119246,FALSE
"86","Employee  86",40442.6972568035,9558.84612747468,50001.5433842782,TRUE
"87","Employee  87",49121.9155560248,4706.18941122666,53828.1049672514,TRUE
"88","Employee  88",41493.9586189575,-3598.77701150253,37895.181607455,FALSE
"89","Employee  89",41200.1217342913,9179.51130191796,50379.6330362093,TRUE
"90","Employee  90",42217.2843827866,7087.11971063167,49304.4040934183,TRUE
"91","Employee  91",47308.589424938,1448.91929579899,48757.508720737,TRUE
"92","Employee  92",40324.0054706112,7511.74922683276,47835.7546974439,TRUE
"93","Employee  93",45914.9856562726,898.103517247364,46813.08917352,TRUE
"94","Employee  94",48246.4865408838,1807.59436450899,50054.0809053928,TRUE
"95","Employee  95",44452.2523717023,-495.208816137165,43957.0435555652,FALSE
"96","Employee  96",48866.4578925818,23.3708473388106,48889.8287399206,TRUE
"97","Employee  97",40951.951877214,-88.1634710822254,40863.7884061318,FALSE
"98","Employee  98",43794.8283925653,-371.719273971394,43423.1091185939,FALSE
"99","Employee  99",42544.500506483,-3639.65995726176,38904.8405492213,FALSE
"100","Employee  100",48196.1403577588,3017.70343328826,51213.8437910471,TRUE
